Card Type;Card Subtype;Name;Description;Capacity/From/Reward ID;/To/Lost;/Points/
0;0;Platform 1;;2;;
0;0;Platform 2;;1;;
0;0;Platform 3;;2;;
0;0;Platform 4;;1;;
0;1;Loading point 1;;1;;
0;1;Loading point 2;;2;;
0;1;Loading point 3;;1;;
0;2;Depot;;0;;
1;3;;;0;1;1
1;3;;;0;2;2
1;3;;;0;3;3
1;3;;;1;0;1
1;3;;;1;2;2
1;3;;;1;3;3
1;3;;;2;0;1
1;3;;;2;1;2
1;3;;;2;3;3
1;3;;;3;0;1
1;3;;;3;1;2
1;3;;;3;2;3
1;4;;;4;5;1
1;4;;;4;6;2
1;4;;;5;4;3
1;4;;;5;6;1
1;4;;;6;4;2
1;4;;;6;5;3
1;4;;;4;5;1
1;4;;;5;6;2
1;4;;;6;4;3
1;5;;;0;3;2
1;5;;;1;2;2
1;5;;;2;0;2
1;5;;;3;1;2
1;6;;;0;6;5
2;8;Full speed;You can run at full|speed to make up|for a delay.;0;;
2;8;Salary increase;You can end a strike|with this pay raise.;1;;
2;8;Maintenance crew;The maintenance crew|can repair faults in|components and tracks.;2;;
2;8;Tool;The tools are useful for|repairing breakdowns and|damage.;3;;
2;8;Advertising;Your train has received|good reviews for its|punctuality.;4;;
2;7;Locomotive breakdown;Take the locomotive to|the depot for repairs.;3;;
2;7;Track closure;The route from here to|the next stop is closed.|Lose two rounds.;2;2;
2;7;Evacuation;The station has been|evacuated due to a|threat.|Lose a round.;99;1;
2;7;Diversion;You cannot reach the|next stop directly.|Use a siding.;99;;
2;7;Signal failure;The departure signal|is not working.;2;1;
2;7;Diversion failure;The nearest turnout to the|last train is not passable;2;1;
2;7;Strike;The workers are|on strike.;1;4;
2;7;Warehouse fire;You cannot load on this|round due to a fire|in the warehouse.;99;;
2;7;Snow / Ice;It has snowed and the|track is impassable.;0;2;
2;7;Track work;There is track work.|Proceed at reduced speed|to the next stop.;99;;
2;7;Delay;The train is delayed.|Lose a round.;0;1;
2;7;Robbery;The train has been|robbed and is damaged.;3;1;
2;7;Storm;Due to the storm there|are delays because of the|condition of the tracks.|Lose a round.;99;1;
